10.8.0.10 10.0.0.10	
10.8.0.11 10.0.0.11
10.8.0.12 10.0.0.12
10.8.0.13 10.0.0.13
10.8.0.14 10.0.0.14
10.8.0.15 10.0.0.15
10.8.0.16 10.0.0.16
10.8.0.17 10.0.0.17
10.8.0.18 10.0.0.18
10.8.0.19 10.0.0.19
10.8.0.20 10.0.0.20	
10.8.0.21 10.0.0.21
10.8.0.22 10.0.0.22
10.8.0.23 10.0.0.23
10.8.0.24 10.0.0.24
10.8.0.25 10.0.0.25
10.8.0.26 10.0.0.26
10.8.0.27 10.0.0.27
10.8.0.28 10.0.0.28
10.8.0.29 10.0.0.29
10.8.0.30 10.0.0.30	
10.8.0.31 10.0.0.31
10.8.0.32 10.0.0.32
10.8.0.33 10.0.0.33
10.8.0.34 10.0.0.34
10.8.0.35 10.0.0.35
10.8.0.36 10.0.0.36
10.8.0.37 10.0.0.37
10.8.0.38 10.0.0.38
10.8.0.39 10.0.0.39
10.8.0.40 10.0.0.40	
10.8.0.41 10.0.0.41
10.8.0.42 10.0.0.42
10.8.0.43 10.0.0.43
10.8.0.44 10.0.0.44
10.8.0.45 10.0.0.45
10.8.0.46 10.0.0.46
10.8.0.47 10.0.0.47
10.8.0.48 10.0.0.48
10.8.0.49 10.0.0.49

