% Output generated by QOMET v1.5.0 beta (revision 183)
% time from_node_id from_node_x from_node_y from_node_z to_node_id to_node_x to_node_y to_node_z distance Pr SNR FER num_retr op_rate bandwidth loss_rate delay jitter
0.00 0 0.000000 0.000000 0.000000 1 0.000000 8.000000 0.000000 8.0000 -70.7858 29.2142 0.0000 0.0000 11000000.00 6117990.11 0.0000 3.3390 0.1600
0.00 1 0.000000 8.000000 0.000000 0 0.000000 0.000000 0.000000 8.0000 -70.7858 29.2142 0.0000 0.0000 11000000.00 6117990.11 0.0000 3.3390 0.1600
0.00 0 0.000000 0.000000 0.000000 2 10.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.00 2 10.000000 0.000000 0.000000 0 0.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.00 1 0.000000 8.000000 0.000000 2 10.000000 0.000000 0.000000 12.8062 -82.2283 17.7717 0.1033 0.1152 11000000.00 5320774.07 0.0000 3.5396 0.5033
0.00 2 10.000000 0.000000 0.000000 1 0.000000 8.000000 0.000000 12.8062 -82.2283 17.7717 0.1033 0.1152 11000000.00 5320774.07 0.0000 3.5396 0.5033
0.50 0 0.000000 0.000000 0.000000 1 0.250000 8.000000 0.000000 8.0039 -70.7976 29.2024 0.0000 0.0000 11000000.00 6117990.01 0.0000 3.3390 0.1600
0.50 1 0.250000 8.000000 0.000000 0 0.000000 0.000000 0.000000 8.0039 -70.7976 29.2024 0.0000 0.0000 11000000.00 6117990.01 0.0000 3.3390 0.1600
0.50 0 0.000000 0.000000 0.000000 2 10.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.50 2 10.000000 0.000000 0.000000 0 0.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
0.50 1 0.250000 8.000000 0.000000 2 10.000000 0.000000 0.000000 12.6120 -81.8566 18.1434 0.0712 0.0767 11000000.00 5571781.80 0.0000 3.4703 0.3924
0.50 2 10.000000 0.000000 0.000000 1 0.250000 8.000000 0.000000 12.6120 -81.8566 18.1434 0.0712 0.0767 11000000.00 5571781.80 0.0000 3.4703 0.3924
1.00 0 0.000000 0.000000 0.000000 1 0.500000 8.000000 0.000000 8.0156 -70.8332 29.1668 0.0000 0.0000 11000000.00 6117989.70 0.0000 3.3390 0.1600
1.00 1 0.500000 8.000000 0.000000 0 0.000000 0.000000 0.000000 8.0156 -70.8332 29.1668 0.0000 0.0000 11000000.00 6117989.70 0.0000 3.3390 0.1600
1.00 0 0.000000 0.000000 0.000000 2 10.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
1.00 2 10.000000 0.000000 0.000000 0 0.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
1.00 1 0.500000 8.000000 0.000000 2 10.000000 0.000000 0.000000 12.4197 -81.4830 18.5170 0.0490 0.0515 11000000.00 5743571.46 0.0000 3.4263 0.3182
1.00 2 10.000000 0.000000 0.000000 1 0.500000 8.000000 0.000000 12.4197 -81.4830 18.5170 0.0490 0.0515 11000000.00 5743571.46 0.0000 3.4263 0.3182
1.50 0 0.000000 0.000000 0.000000 1 0.750000 8.000000 0.000000 8.0351 -70.8922 29.1078 0.0000 0.0000 11000000.00 6117989.16 0.0000 3.3390 0.1600
1.50 1 0.750000 8.000000 0.000000 0 0.000000 0.000000 0.000000 8.0351 -70.8922 29.1078 0.0000 0.0000 11000000.00 6117989.16 0.0000 3.3390 0.1600
1.50 0 0.000000 0.000000 0.000000 2 10.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
1.50 2 10.000000 0.000000 0.000000 0 0.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
1.50 1 0.750000 8.000000 0.000000 2 10.000000 0.000000 0.000000 12.2296 -81.1078 18.8922 0.0337 0.0348 11000000.00 5861396.03 0.0000 3.3976 0.2679
1.50 2 10.000000 0.000000 0.000000 1 0.750000 8.000000 0.000000 12.2296 -81.1078 18.8922 0.0337 0.0348 11000000.00 5861396.03 0.0000 3.3976 0.2679
2.00 0 0.000000 0.000000 0.000000 1 1.000000 8.000000 0.000000 8.0623 -70.9743 29.0257 0.0000 0.0000 11000000.00 6117988.37 0.0000 3.3390 0.1600
2.00 1 1.000000 8.000000 0.000000 0 0.000000 0.000000 0.000000 8.0623 -70.9743 29.0257 0.0000 0.0000 11000000.00 6117988.37 0.0000 3.3390 0.1600
2.00 0 0.000000 0.000000 0.000000 2 10.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
2.00 2 10.000000 0.000000 0.000000 0 0.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
2.00 1 1.000000 8.000000 0.000000 2 10.000000 0.000000 0.000000 12.0416 -80.7310 19.2690 0.0231 0.0237 11000000.00 5942244.65 0.0000 3.3786 0.2337
2.00 2 10.000000 0.000000 0.000000 1 1.000000 8.000000 0.000000 12.0416 -80.7310 19.2690 0.0231 0.0237 11000000.00 5942244.65 0.0000 3.3786 0.2337
2.50 0 0.000000 0.000000 0.000000 1 1.250000 8.000000 0.000000 8.0971 -71.0791 28.9209 0.0000 0.0000 11000000.00 6117987.25 0.0000 3.3390 0.1600
2.50 1 1.250000 8.000000 0.000000 0 0.000000 0.000000 0.000000 8.0971 -71.0791 28.9209 0.0000 0.0000 11000000.00 6117987.25 0.0000 3.3390 0.1600
2.50 0 0.000000 0.000000 0.000000 2 10.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
2.50 2 10.000000 0.000000 0.000000 0 0.000000 0.000000 0.000000 10.0000 -76.2127 23.7873 0.0003 0.0003 11000000.00 6116088.15 0.0000 3.3394 0.1608
2.50 1 1.250000 8.000000 0.000000 2 10.000000 0.000000 0.000000 11.8559 -80.3531 19.6469 0.0158 0.0161 11000000.00 5997699.01 0.0000 3.3659 0.2103
2.50 2 10.000000 0.000000 0.000000 1 1.250000 8.000000 0.000000 11.8559 -80.3531 19.6469 0.0158 0.0161 11000000.00 5997699.01 0.0000 3.3659 0.2103
3.00 0 0.000000 0.000000 0.000000 1 1.500000 8.000000 0.000000 8.1394 -71.2059 28.7941 0.0000 0.0000 11000000.00 6117985.72 0.0000 3.3390 0.1600
3.00 1 1.500000 8.000000 0.000000 0 0.000000 0.000000 0.000000 8.1394 -71.2059 28.7941 0.0000 0.0000 11000000.00 6117985.72 0.0000 3.3390 0.1600
